residueCount,resolution,structureMolecularWeight,crystallizationTempK,densityMatthews,densityPercentSol,phValue
665,0.0022,72.21817,295.0,2.65,53.51,7.8
665,0.0022,72.21817,295.0,2.65,53.51,7.8
124,0.0018000000000000002,13.82968,293.0,2.83,56.58,5.6
265,0.002,28.63441,293.0,1.92,35.84,6.1
265,0.002,28.54681,293.0,2.33,47.22,6.5
265,0.0019,30.18615,293.0,2.24,45.11,7.5
530,0.0021000000000000003,57.048860000000005,293.0,2.04,39.76,6.5
265,0.0021000000000000003,28.511380000000003,293.0,2.32,46.94,6.5
265,0.0021000000000000003,28.46737,293.0,1.95,36.89,7.0
265,0.0021000000000000003,28.52344,293.0,1.95,36.86,7.0
76,0.0020800000000000003,8.92839,295.0,1.84,33.07,4.8
753,0.0018100000000000002,83.17468,295.0,2.73,54.95,7.0
753,0.00198,83.22171,295.0,2.74,55.07,7.0
396,0.0024,43.93945,293.0,3.13,60.69,8.0
306,0.0023,35.552620000000005,298.0,2.05,39.97,7.4
107,0.002,12.581479999999999,298.0,2.49,50.67,7.4
540,0.0022,60.864000000000004,277.0,2.19,43.88,9.0
132,0.00117,15.09478,293.0,2.0,48.22,7.5
282,0.0028,29.88577,293.0,2.19,43.95,7.5
282,0.0028,29.88577,293.0,2.19,43.95,7.5
1692,0.0033,178.05297000000002,293.0,2.78,55.71,5.6
908,0.0022,101.85567,293.0,2.64,53.48,9.2
124,0.0017,13.71216,293.0,2.87,57.11,6.0
315,0.0024,37.000980000000006,298.0,3.41,63.89,6.5
124,0.0018000000000000002,13.747620000000001,293.0,2.86,57.07,6.0
321,0.0019,36.36472,291.0,4.55,72.97,7.5
302,0.0023,31.37467,277.0,4.31,70.0,6.0
740,0.002,87.39252,280.0,2.79,55.9,5.6
740,0.002,87.39252,280.0,2.79,55.9,5.6
126,0.0026000000000000003,15.46341,288.0,3.5,64.5,6.5
126,0.0026000000000000003,15.46341,288.0,3.5,64.5,6.5
336,0.0023,40.55285,293.0,2.8,42.0,8.5
566,0.0023,64.19673,277.0,2.65,51.22,6.4
566,0.0023,64.19673,277.0,2.65,51.22,6.4
345,0.0022,41.95624,298.0,2.5,50.81,7.5
1342,0.0029,143.80259,294.0,3.5,64.85,7.3
1342,0.0029,143.80259,294.0,3.5,64.85,7.3
202,0.0022,23.04157,291.0,2.19,43.89,8.5
364,0.0026000000000000003,42.499410000000005,293.0,3.11,60.48,7.0
180,0.00185,20.582340000000002,286.0,2.2,43.98,7.5
262,0.0019,29.65575,295.0,2.83,56.59,4.6
239,0.00206,27.688380000000002,291.0,2.15,43.3,5.0
295,0.0015,33.58787,281.0,2.34,47.51,5.5
99,0.00195,11.31064,291.0,3.0,59.0,4.6
1108,0.0028,125.16408,298.0,2.6,52.72,6.0
296,0.0023,33.0241,298.0,2.44,49.69,9.0
1888,0.0026000000000000003,203.51270000000002,293.0,3.1,60.32,4.6
436,0.002,47.42372,298.0,2.67,53.99,7.5
436,0.002,47.42372,298.0,2.67,53.99,7.5
666,0.002,71.53401,291.0,3.28,62.46,6.1
5820,0.002,646.29075,277.0,3.24,61.98,7.4
382,0.0018000000000000002,42.69483,290.0,3.2,61.6,7.5
1062,0.0028,118.8925,277.0,2.66,53.68,6.5
236,0.0019,24.25057,298.0,2.04,39.78,6.8
236,0.0019,24.25057,298.0,2.04,39.78,6.8
236,0.0018000000000000002,24.224490000000003,298.0,2.04,39.74,7.4
236,0.00165,24.23852,298.0,2.04,39.77,7.4
236,0.0016,24.23655,298.0,2.04,39.78,7.1
868,0.0022,95.80188000000001,291.0,2.22,44.6,4.0
868,0.0022,95.80188000000001,291.0,2.22,44.6,4.0
2212,0.002,256.73841,273.0,2.59,52.57,7.0
166,0.00126,19.421689999999998,291.0,1.91,35.47,7.6
164,0.0021000000000000003,18.775990000000004,277.0,2.84,56.61,6.6
446,0.0029,48.55511,298.0,2.11,41.61,7.0
639,0.002,73.15012,277.0,4.12,70.11,5.6
129,0.0016,13.886090000000001,298.0,1.86,33.98,5.0
296,0.00158,33.14461,278.0,2.07,40.2,8.9
1368,0.0032,167.72056,289.0,3.01,59.17,10.0
353,0.0024,39.50386,277.0,2.26,45.49,6.5
435,0.002,48.80514,293.0,2.14,42.46,6.0
309,0.00228,34.8023,277.0,3.72,66.98,7.5
309,0.00228,34.8023,277.0,3.72,66.98,7.5
212,0.0017,23.859810000000003,277.0,2.18,43.69,8.9
416,0.0021000000000000003,46.1547,298.0,4.33,71.57,5.8
3952,0.0025800000000000003,437.70206,293.0,2.1,41.53,6.4
416,0.0026000000000000003,46.06395,298.0,4.33,71.61,5.8
592,0.0025,64.51804,290.0,3.1,60.29,5.3
492,0.0023,52.13154,295.0,2.78,48.5,5.6
500,0.002,57.293040000000005,291.0,3.21,65.1,7.5
162,0.00102,18.27793,277.0,2.41,48.93,7.5
90,0.00165,10.72277,298.0,2.82,56.34,5.6
268,0.0022,30.97142,277.0,2.75,44.0,6.5
268,0.0022,30.97142,277.0,2.75,44.0,6.5
599,0.0024500000000000004,67.9697,287.0,2.3,46.5,5.0
528,0.0018000000000000002,59.319190000000006,277.0,2.81,56.3,6.0
394,0.00185,45.26988,292.0,2.05,39.85,7.3
336,0.0021000000000000003,38.7187,291.0,2.26,45.67,7.0
1078,0.0024,119.05919,293.0,3.53,65.11,6.0
1078,0.0024,119.05919,293.0,3.53,65.11,6.0
1078,0.0024,119.05919,293.0,3.53,65.11,6.0
162,0.0012,18.14264,277.0,2.43,49.37,6.2
917,0.0019,103.8948,298.0,3.01,59.11,6.5
396,0.0025,44.04146,293.0,2.99,58.9,7.5
684,0.0024500000000000004,74.64367,277.0,2.95,58.33,6.6
724,0.00168,76.26622,293.0,2.14,42.6,6.0
169,0.00186,19.33584,277.0,3.68,66.55,6.8
169,0.0019,19.11165,277.0,2.74,55.15,6.8
169,0.0018000000000000002,19.11264,277.0,2.7,54.44,6.8
196,0.00117,21.76289,277.0,2.0,48.32,5.5
169,0.0019,19.11165,277.0,2.72,54.79,6.8
690,0.0025,75.83501,298.0,2.21,44.46,8.0
130,0.0014,15.13887,293.0,1.54,22.0,4.5
213,0.00186,23.83644,298.0,2.33,38.0,6.5
888,0.00165,102.38307,280.0,2.38,48.38,6.5
1872,0.0018000000000000002,200.84338,295.0,2.74,55.15,8.5
322,0.00202,37.71323,295.0,2.71,54.67,7.8
206,0.00171,22.88682,298.0,2.13,42.36,6.1
356,0.0019,36.88673000000001,277.0,2.11,41.6,6.0
345,0.002,40.689980000000006,298.0,2.46,49.94,7.5
61,0.0021000000000000003,6.97894,298.0,3.34,63.16,7.0
130,0.0020499999999999997,14.59667,298.0,2.39,48.63,7.0
320,0.0022,37.62066,298.0,2.19,43.8,7.0
322,0.0017,37.74846,293.0,2.21,44.3,7.0
1492,0.0025,165.04639000000003,277.0,2.93,58.09,6.5
1492,0.0024,164.97423,277.0,2.88,57.25,6.5
416,0.0014,47.48201,295.0,2.5,50.87,5.6
320,0.0019,37.44044,293.0,2.14,42.61,7.0
584,0.0025,64.92166,277.0,2.7,54.0,5.6
1588,0.0019399999999999999,177.03557999999998,277.0,2.58,52.39,7.2
584,0.0025,64.86564,277.0,2.67,54.02,5.6
392,0.0022,43.71481,298.0,2.27,45.82,4.6
